Value;From class;From type;From method;Next invoke;Next class;Next type;Next method;Type1;Type2
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;this.<org.springframework.util.DefaultPropertiesPersister:;boolean;endsWithContinuationMarker(java.lang.String)>(line);java.lang.String;boolean
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack45.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<junit.runner.BaseTestRunner:;java.lang.String;getFilteredTrace(java.lang.String)>;staticinvoke;<junit.runner.BaseTestRunner:;boolean;filterLine(java.lang.String)>(line);java.lang.String;boolean
dev;<java.util.Scanner:;java.lang.String;next()>;staticinvoke;<eu.kostia.gtkjfilechooser.RemovableDevice$RemovableDeviceType:;eu.kostia.gtkjfilechooser.RemovableDevice$RemovableDeviceType;getType(java.lang.String)>(dev);java.lang.String;eu.kostia.gtkjfilechooser.RemovableDevice$RemovableDeviceType
diskUUIDs;<eu.kostia.gtkjfilechooser.FreeDesktopUtil:;java.util.List;getRemovableDevices()>;staticinvoke;<java.util.Arrays:;int;binarySearch(java.lang.Object[],java.lang.Object)>(diskUUIDs, name);java.lang.String[];int
filename;<java.io.File:;java.lang.String;getAbsolutePath()>;virtualinvoke;sInfo.<org.exolab.castor.builder.SGStateInfo:;java.util.Properties;getCDRFile(java.lang.String)>(filename);java.lang.String;java.util.Properties
line;<com.google.common.io.CharStreams:;java.util.List;readLines(java.lang.Readable)>;interfaceinvoke;result.<java.util.List:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
line;<com.google.common.io.CharStreams:;java.lang.Object;readLines(java.lang.Readable,com.google.common.io.LineProcessor)>;interfaceinvoke;processor.<com.google.common.io.LineProcessor:;boolean;processLine(java.lang.String)>(line);java.lang.String;boolean
line;<java.io.BufferedReader:;java.lang.String;readLine()>;interfaceinvoke;list.<java.util.List:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
uuid;<java.io.ObjectInputStream:;java.lang.String;readUTF()>;staticinvoke;<org.hibernate.impl.SessionFactoryObjectFactory:;java.lang.Object;getInstance(java.lang.String)>(uuid);java.lang.String;java.lang.Object
uuid;<java.io.ObjectInputStream:;java.lang.String;readUTF()>;virtualinvoke;$stack11.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(uuid);java.lang.String;java.lang.StringBuffer
name;<java.io.ObjectInputStream:;java.lang.String;readUTF()>;staticinvoke;<org.hibernate.impl.SessionFactoryObjectFactory:;java.lang.Object;getNamedInstance(java.lang.String)>(name);java.lang.String;java.lang.Object
uuid;<java.io.ObjectInputStream:;java.lang.String;readUTF()>;virtualinvoke;$stack18.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(uuid);java.lang.String;java.lang.StringBuffer
name;<java.io.ObjectInputStream:;java.lang.String;readUTF()>;virtualinvoke;$stack20.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(name);java.lang.String;java.lang.StringBuffer
l3;<java.util.Scanner:;java.lang.String;nextLine()>;virtualinvoke;l2.<java.util.ArrayList:;boolean;add(java.lang.Object)>(l3);java.lang.String;boolean
key;<java.io.File:;java.lang.String;getAbsolutePath()>;interfaceinvoke;$stack8.<java.util.Map:;java.lang.Object;get(java.lang.Object)>(key);java.lang.String;java.lang.Object
key;<java.io.File:;java.lang.String;getAbsolutePath()>;interfaceinvoke;$stack13.<java.util.Map:;java.lang.Object;put(java.lang.Object,java.lang.Object)>(key, this);java.lang.String;java.lang.Object
ln;<java.io.BufferedReader:;java.lang.String;readLine()>;interfaceinvoke;returned.<java.util.Set:;boolean;contains(java.lang.Object)>(ln);java.lang.String;boolean
ln;<java.io.BufferedReader:;java.lang.String;readLine()>;interfaceinvoke;names.<java.util.List:;boolean;add(java.lang.Object)>(ln);java.lang.String;boolean
ln;<java.io.BufferedReader:;java.lang.String;readLine()>;interfaceinvoke;returned.<java.util.Set:;boolean;add(java.lang.Object)>(ln);java.lang.String;boolean
line;<com.amazonaws.services.s3.internal.crypto.EncryptionUtils:;java.lang.String;convertStreamToString(java.io.InputStream)>;virtualinvoke;stringBuilder.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
templateName;<java.io.File:;java.lang.String;getName()>;virtualinvoke;$stack10.<freemarker.template.Configuration:;freemarker.template.Template;getTemplate(java.lang.String,java.util.Locale)>(templateName, $stack9);java.lang.String;freemarker.template.Template
l4;<com.endeca.navigation.FileLoginModule:;java.util.Map;getUsers()>;virtualinvoke;l5.<java.util.HashSet:;boolean;add(java.lang.Object)>(l4);java.lang.String;boolean
line;<net.sf.json.groovy.JsonSlurper:;net.sf.json.JSON;parse(java.io.Reader)>;virtualinvoke;buffer.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.LineNumberReader:;java.lang.String;readLine()>;virtualinvoke;lines.<java.util.ArrayList:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
line;<org.mmbase.util.magicfile.MagicParser:;void;<init>(java.lang.String)>;specialinvoke;this.<org.mmbase.util.magicfile.MagicParser:;org.mmbase.util.magicfile.Detector;createDetector(java.lang.String)>(line);java.lang.String;org.mmbase.util.magicfile.Detector
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;sb.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
base;<java.io.File:;java.lang.String;getParent()>;virtualinvoke;$stack47.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(base);java.lang.String;java.lang.StringBuffer
in;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack9.<java.util.Vector:;boolean;add(java.lang.Object)>(in);java.lang.String;boolean
l2;<java.io.File:;java.lang.String;getCanonicalPath()>;virtualinvoke;$stack7.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(l2);java.lang.String;java.lang.StringBuffer
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;output.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;output.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;output.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;output.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
baseDirStr;<java.io.File:;java.lang.String;getAbsolutePath()>;virtualinvoke;jvmVersionDirStr.<java.lang.String:;boolean;startsWith(java.lang.String)>(baseDirStr);java.lang.String;boolean
l2;<java.io.File:;java.lang.String;getAbsolutePath()>;virtualinvoke;$stack24.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(l2);java.lang.String;java.lang.StringBuffer
l2;<java.io.File:;java.lang.String;getAbsolutePath()>;virtualinvoke;$stack19.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(l2);java.lang.String;java.lang.StringBuffer
line;<java.io.LineNumberReader:;java.lang.String;readLine()>;staticinvoke;<org.apache.commons.collections.ExtendedProperties:;boolean;access$000(java.lang.String)>(line);java.lang.String;boolean
line;<java.io.LineNumberReader:;java.lang.String;readLine()>;virtualinvoke;buffer.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.LineNumberReader:;java.lang.String;readLine()>;virtualinvoke;buffer.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
l18;<java.io.File:;java.lang.String;getPath()>;virtualinvoke;$stack170.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(l18);java.lang.String;java.lang.StringBuffer
l18;<java.io.File:;java.lang.String;getPath()>;virtualinvoke;$stack82.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(l18);java.lang.String;java.lang.StringBuffer
l18;<java.io.File:;java.lang.String;getPath()>;virtualinvoke;$stack86.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(l18);java.lang.String;java.lang.StringBuffer
line;<org.apache.axis.components.compiler.Javac:;java.util.List;parseModernStream(java.io.BufferedReader)>;virtualinvoke;buffer.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<org.apache.axis.components.compiler.Javac:;java.util.List;parseClassicStream(java.io.BufferedReader)>;virtualinvoke;buffer.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
versionStr;<java.io.BufferedReader:;java.lang.String;readLine()>;staticinvoke;<com.fasterxml.jackson.core.util.VersionUtil:;com.fasterxml.jackson.core.Version;parseVersion(java.lang.String,java.lang.String,java.lang.String)>(versionStr, groupStr, artifactStr);java.lang.String;com.fasterxml.jackson.core.Version
groupStr;<java.io.BufferedReader:;java.lang.String;readLine()>;staticinvoke;<com.fasterxml.jackson.core.util.VersionUtil:;com.fasterxml.jackson.core.Version;parseVersion(java.lang.String,java.lang.String,java.lang.String)>(versionStr, groupStr, artifactStr);java.lang.String;com.fasterxml.jackson.core.Version
artifactStr;<java.io.BufferedReader:;java.lang.String;readLine()>;staticinvoke;<com.fasterxml.jackson.core.util.VersionUtil:;com.fasterxml.jackson.core.Version;parseVersion(java.lang.String,java.lang.String,java.lang.String)>(versionStr, groupStr, artifactStr);java.lang.String;com.fasterxml.jackson.core.Version
s;<com.sun.mail.pop3.Protocol:;void;setCapabilities(java.io.InputStream)>;interfaceinvoke;$stack12.<java.util.Map:;java.lang.Object;put(java.lang.Object,java.lang.Object)>($stack13, s);java.lang.String;java.lang.Object
line;<java.io.DataInputStream:;java.lang.String;readLine()>;virtualinvoke;$stack23.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.DataInputStream:;java.lang.String;readLine()>;virtualinvoke;$stack12.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<com.amazonaws.services.s3.internal.Mimetypes:;void;loadAndReplaceMimetypes(java.io.InputStream)>;virtualinvoke;$stack20.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
src;<java.io.File:;java.lang.String;getPath()>;interfaceinvoke;img_provider.<com.itextpdf.text.html.simpleparser.ImageProvider:;com.itextpdf.text.Image;getImage(java.lang.String,java.util.Map,com.itextpdf.text.html.simpleparser.ChainedProperties,com.itextpdf.text.DocListener)>(src, attrs, chain, document);java.lang.String;com.itextpdf.text.Image
src;<java.io.File:;java.lang.String;getPath()>;virtualinvoke;img_store.<java.util.HashMap:;java.lang.Object;get(java.lang.Object)>(src);java.lang.String;java.lang.Object
src;<java.io.File:;java.lang.String;getPath()>;virtualinvoke;$stack72.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(src);java.lang.String;java.lang.StringBuilder
src;<java.io.File:;java.lang.String;getPath()>;staticinvoke;<com.itextpdf.text.Image:;com.itextpdf.text.Image;getInstance(java.lang.String)>(src);java.lang.String;com.itextpdf.text.Image
name;<java.io.File:;java.lang.String;getName()>;staticinvoke;<org.apache.commons.io.FilenameUtils:;boolean;wildcardMatch(java.lang.String,java.lang.String,org.apache.commons.io.IOCase)>(name, $stack9, $stack8);java.lang.String;boolean
line;<gov.nih.nci.logging.api.appender.jdbc.JDBCAppenderFilter:;void;init()>;interfaceinvoke;$stack9.<java.util.List:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
line;<java.util.Scanner:;java.lang.String;nextLine()>;virtualinvoke;$stack53.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
line;<java.util.Scanner:;java.lang.String;nextLine()>;virtualinvoke;$stack30.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
line;<java.util.Scanner:;java.lang.String;nextLine()>;virtualinvoke;$stack34.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
line;<java.util.Scanner:;java.lang.String;nextLine()>;virtualinvoke;$stack38.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;jsf.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;jsf.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;lines.<java.util.ArrayList:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
line1;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack56.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line1);java.lang.String;java.lang.StringBuffer
line;<org.exolab.castor.util.ChangeLog2XML:;org.exolab.castor.util.ChangeLog2XML$Changelog;parse(java.io.File)>;virtualinvoke;buffer.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<org.apache.axis.SOAPPart:;void;setContent(javax.xml.transform.Source)>;virtualinvoke;sb.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<org.quartz.jobs.NativeJob$StreamConsumer:;void;run()>;virtualinvoke;$stack26.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<org.quartz.jobs.NativeJob$StreamConsumer:;void;run()>;virtualinvoke;$stack17.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<org.apache.ibatis.jdbc.ScriptRunner:;void;executeFullScript(java.io.Reader)>;virtualinvoke;script.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<org.apache.ibatis.jdbc.ScriptRunner:;void;executeLineByLine(java.io.Reader)>;specialinvoke;this.<org.apache.ibatis.jdbc.ScriptRunner:;java.lang.StringBuffer;handleLine(java.lang.StringBuffer,java.lang.String)>(command, line);java.lang.String;java.lang.StringBuffer
rp;<com.mchange.v2.cfg.MultiPropertiesConfig:;com.mchange.v2.cfg.MultiPropertiesConfig;readVmConfig()>;virtualinvoke;$stack23.<java.lang.String:;boolean;equals(java.lang.Object)>(rp);java.lang.String;boolean
rp;<com.mchange.v2.cfg.MultiPropertiesConfig:;com.mchange.v2.cfg.MultiPropertiesConfig;readVmConfig()>;interfaceinvoke;rps.<java.util.List:;boolean;add(java.lang.Object)>(rp);java.lang.String;boolean
l6;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;l2.<org.apache.regexp.RE:;boolean;match(java.lang.String)>(l6);java.lang.String;boolean
l2;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack11.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(l2);java.lang.String;java.lang.StringBuffer
l4;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack14.<java.lang.String:;boolean;equals(java.lang.Object)>(l4);java.lang.String;boolean
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;pattern.<java.util.regex.Pattern:;java.util.regex.Matcher;matcher(java.lang.CharSequence)>(line);java.lang.String;java.util.regex.Matcher
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack82.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack92.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
factoryClassName;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack43.<java.lang.String:;boolean;equals(java.lang.Object)>(factoryClassName);java.lang.String;boolean
factoryClassName;<java.io.BufferedReader:;java.lang.String;readLine()>;staticinvoke;<javax.ws.rs.ext.FactoryFinder:;java.lang.Object;newInstance(java.lang.String,java.lang.ClassLoader)>(factoryClassName, classLoader);java.lang.String;java.lang.Object
factoryClassName;<java.io.BufferedReader:;java.lang.String;readLine()>;staticinvoke;<javax.ws.rs.ext.FactoryFinder:;java.lang.Object;newInstance(java.lang.String,java.lang.ClassLoader)>(factoryClassName, classLoader);java.lang.String;java.lang.Object
record;<util.convert.FileHelper:;java.util.List;readRecords(java.io.File)>;interfaceinvoke;records.<java.util.List:;boolean;add(java.lang.Object)>(record);java.lang.String;boolean
userName;<java.io.BufferedReader:;java.lang.String;readLine()>;staticinvoke;<com.j_spaces.kernel.JSpaceUtilities:;boolean;isEmpty(java.lang.String,boolean)>(userName, 1);java.lang.String;boolean
password;<java.io.BufferedReader:;java.lang.String;readLine()>;staticinvoke;<com.j_spaces.kernel.JSpaceUtilities:;boolean;isEmpty(java.lang.String,boolean)>(userName, 1);java.lang.String;boolean
line;<com.gigaspaces.internal.log.InternalLogHelper:;com.gigaspaces.log.LogEntries;logEntriesDirect(java.io.File[],long,com.gigaspaces.log.LogProcessType,com.gigaspaces.log.LogEntryMatcher)>;virtualinvoke;lines.<java.util.ArrayList:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
line;<com.gigaspaces.internal.log.InternalLogHelper:;com.gigaspaces.log.LogEntries;logEntriesDirect(java.io.File[],long,com.gigaspaces.log.LogProcessType,com.gigaspaces.log.LogEntryMatcher)>;virtualinvoke;lines.<java.util.ArrayList:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
line;<com.gigaspaces.internal.log.InternalLogHelper:;com.gigaspaces.log.LogEntries;logEntriesDirect(java.io.File[],long,com.gigaspaces.log.LogProcessType,com.gigaspaces.log.LogEntryMatcher)>;virtualinvoke;lines.<java.util.ArrayList:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
line;<com.gigaspaces.internal.log.InternalLogHelper:;com.gigaspaces.log.LogEntries;logEntriesDirect(java.io.File[],long,com.gigaspaces.log.LogProcessType,com.gigaspaces.log.LogEntryMatcher)>;virtualinvoke;sb.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
line;<weka.core.mathematicalexpression.Parser:;void;main(java.lang.String[])>;virtualinvoke;$stack28.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
rc;<java.io.DataInputStream:;java.lang.String;readUTF()>;virtualinvoke;$stack12.<java.lang.String:;boolean;equals(java.lang.Object)>(rc);java.lang.String;boolean
rc;<java.io.DataInputStream:;java.lang.String;readUTF()>;virtualinvoke;$stack16.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(rc);java.lang.String;java.lang.StringBuffer
line;<weka.core.xml.SerialUIDChanger:;void;changeUID(long,long,java.lang.String,java.lang.String)>;virtualinvoke;$stack45.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
s;<java.io.BufferedReader:;java.lang.String;readLine()>;staticinvoke;<java.lang.Class:;java.lang.Class;forName(java.lang.String)>(s);java.lang.String;java.lang.Class
l12;<java.util.Scanner:;java.lang.String;nextLine()>;virtualinvoke;$stack51.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(l12);java.lang.String;java.lang.StringBuilder
l12;<java.util.Scanner:;java.lang.String;nextLine()>;interfaceinvoke;l10.<java.util.List:;boolean;add(java.lang.Object)>(l12);java.lang.String;boolean
l8;<com.google.gwt.soyc.SoycDashboard:;java.util.Map;readPermutationInfo(com.google.gwt.soyc.Settings)>;interfaceinvoke;l1.<java.util.Map:;java.lang.Object;put(java.lang.Object,java.lang.Object)>(l8, l10);java.lang.String;java.lang.Object
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack11.<java.util.regex.Pattern:;java.util.regex.Matcher;matcher(java.lang.CharSequence)>(line);java.lang.String;java.util.regex.Matcher
absPath;<java.io.File:;java.lang.String;getAbsolutePath()>;virtualinvoke;$stack18.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(absPath);java.lang.String;java.lang.StringBuilder
absPath;<java.io.File:;java.lang.String;getAbsolutePath()>;virtualinvoke;$stack25.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(absPath);java.lang.String;java.lang.StringBuilder
line;<java.io.BufferedReader:;java.lang.String;readLine()>;interfaceinvoke;lines.<java.util.List:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
path;<java.io.File:;java.lang.String;getAbsolutePath()>;staticinvoke;<org.codehaus.plexus.util.StringUtils:;java.lang.String[];split(java.lang.String,java.lang.String)>(path, .);java.lang.String;java.lang.String[]
type;<com.badlogic.gdx.utils.UBJsonReader:;com.badlogic.gdx.utils.JsonValue;parseArray(java.io.DataInputStream)>;virtualinvoke;this.<com.badlogic.gdx.utils.UBJsonReader:;com.badlogic.gdx.utils.JsonValue;parse(java.io.DataInputStream,byte)>(din, type);byte;com.badlogic.gdx.utils.JsonValue
type;<java.io.DataInputStream:;byte;readByte()>;virtualinvoke;this.<com.badlogic.gdx.utils.UBJsonReader:;java.lang.String;parseString(java.io.DataInputStream,boolean,byte)>(din, type);byte;java.lang.String
dataType;<java.io.DataInputStream:;byte;readByte()>;virtualinvoke;this.<com.badlogic.gdx.utils.UBJsonReader:;com.badlogic.gdx.utils.JsonValue;parse(java.io.DataInputStream,byte)>(din, dataType);byte;com.badlogic.gdx.utils.JsonValue
rc;<java.io.DataInputStream:;java.lang.String;readUTF()>;virtualinvoke;$stack12.<java.lang.String:;boolean;equals(java.lang.Object)>(rc);java.lang.String;boolean
rc;<java.io.DataInputStream:;java.lang.String;readUTF()>;virtualinvoke;$stack16.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(rc);java.lang.String;java.lang.StringBuffer
l2;<java.io.DataInputStream:;byte;readByte()>;virtualinvoke;$stack13.<java.lang.StringBuilder:;java.lang.StringBuilder;append(int)>(l2);byte;java.lang.StringBuilder
line;<org.codehaus.plexus.archiver.DotDirectiveArchiveFinalizer:;void;finalizeArchiveCreation(org.codehaus.plexus.archiver.Archiver)>;staticinvoke;<org.codehaus.plexus.util.StringUtils:;java.lang.String[];split(java.lang.String,java.lang.String)>(line,;java.lang.String;java.lang.String[]
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;prolog.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
s;<net.minecraft.client.gui.GuiMainMenu:;void;<init>()>;virtualinvoke;arraylist.<java.util.ArrayList:;boolean;add(java.lang.Object)>(s);java.lang.String;boolean
l5;<java.io.File:;java.lang.String;getPath()>;virtualinvoke;l2.<java.lang.String:;boolean;startsWith(java.lang.String)>(l5);java.lang.String;boolean
l6;<java.io.File:;java.lang.String;getAbsolutePath()>;virtualinvoke;$stack17.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(l6);java.lang.String;java.lang.StringBuilder
